id,nama_laptop,harga,deskripsi,image
164,Acer Nitro Creator,23999000,Laptop gaming editing RTX 4050,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=1200&auto=format&fit=crop
165,Lenovo Slim Student,8999000,Laptop tipis mahasiswa Ryzen 5,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
166,MSI Raider Creator,55999000,Laptop creator gaming RTX 4090,https://images.unsplash.com/photo-1587202372775-e229f172b9d7?q=80&w=1200&auto=format&fit=crop
167,Dell Gaming RTX,21999000,Laptop gaming Intel i7 RTX 4060,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
168,HP Elite OLED,31999000,Laptop bisnis premium OLED,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
169,ASUS OfficeBook,8499000,Laptop office ringan Intel i5,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
170,Acer Swift RTX,25999000,Laptop ringan RTX 4060 creator,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
171,Lenovo Legion Creator,38999000,Laptop gaming editing premium,https://images.unsplash.com/photo-1498050108023-c5249f4df085?q=80&w=1200&auto=format&fit=crop
172,MSI Thin Student,9999000,Laptop mahasiswa ringan Intel i5,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
173,Dell Precision Ultra,59999000,Laptop workstation RTX 4090,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
174,HP StudentBook,6499000,Laptop pelajar murah RAM 8GB,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
175,ASUS TUF Ryzen,21999000,Laptop gaming Ryzen 7 RTX 4060,https://images.unsplash.com/photo-1593642702821-c8da6771f0c6?q=80&w=1200&auto=format&fit=crop
176,Acer Aspire Ryzen,9999000,Laptop office Ryzen 5 SSD,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
177,Lenovo Yoga OLED,26999000,Laptop touchscreen OLED premium,https://images.unsplash.com/photo-1541807084-5c52b6b3adef?q=80&w=1200&auto=format&fit=crop
178,MSI Titan RTX,69999000,Laptop gaming tertinggi RTX 4090,https://images.unsplash.com/photo-1587202372775-e229f172b9d7?q=80&w=1200&auto=format&fit=crop
179,Dell Inspiron Office,8499000,Laptop office SSD Intel i5,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
180,HP Gaming RTX 4070,32999000,Laptop gaming performa tinggi,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
181,ASUS Zenbook Creator,29999000,Laptop creator OLED Intel Ultra,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
182,Acer Nitro OLED,27999000,Laptop gaming OLED RTX 4060,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=1200&auto=format&fit=crop
183,Lenovo Slim Gaming,19999000,Laptop gaming tipis RTX 3050,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
184,MSI Office Slim,11999000,Laptop bisnis tipis Intel i5,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
185,Dell Student Ryzen,7499000,Laptop mahasiswa Ryzen 3,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
186,HP Creator RTX,28999000,Laptop creator RTX 4070,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
187,ASUS VivoBook Gaming,17999000,Laptop gaming entry RTX 3050,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
188,Acer Predator Creator,45999000,Laptop creator gaming premium,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?q=80&w=1200&auto=format&fit=crop
189,Lenovo Business Pro,14999000,Laptop bisnis Ryzen 7 ringan,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
190,MSI Gaming Studio,37999000,Laptop gaming editing RTX 4080,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
191,Dell Multimedia OLED,25999000,Laptop multimedia OLED Intel i7,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
192,HP Pavilion Office,9499000,Laptop office Ryzen 5,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
193,ASUS Chromebook Student,5499000,Laptop ChromeOS untuk pelajar,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
194,Acer Swift Business,15999000,Laptop bisnis ringan Intel i7,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
195,Lenovo Legion RTX 4090,69999000,Laptop gaming flagship RTX 4090,https://images.unsplash.com/photo-1498050108023-c5249f4df085?q=80&w=1200&auto=format&fit=crop
196,MSI Creator OLED,34999000,Laptop creator OLED premium,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
197,Dell Gaming Beast,42999000,Laptop gaming high end RTX 4080,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
198,HP Office Ryzen,8999000,Laptop kerja Ryzen 5 SSD,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
199,ASUS ROG Ultimate,79999000,Laptop gaming ultimate RTX 4090,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
200,Acer Aspire Office,7499000,Laptop office murah Intel i3 SSD,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
